Strict score	Loose score	C&I rank	C&I score	SE rank	SE score	Q rank	Q score	Sender Role	Message
-101	-89	0	79	0	16	1	6	Peer supervisor	"Or can I go and see the patient and I tell them to come on 4th of March, when I have known the condition the child is in."
-105	-77	0	84	1	14	0	7	CHW	It's true. One litre of water equals two cups of water not four.
-66	-54	0	77	2	17	1	6	Peer supervisor	The medicine that is remaining is just for a day. What can I do for her? She is getting the treatment from Riubaga 
-70	-46	1	12	0	50	0	8	Facilitator	"The ear drum is red indeed Edward, however there is no pus there..."
-47	-41	0	36	0	8	1	3	Facilitator	No need to give antibiotics 
-161	-29	0	84	1	66	0	11	Peer supervisor	Thanks too 
-161	-29	0	84	1	66	0	11	CHW	 I would also like to correct Harriet. Brucella is not malaria but a disease of its own just like T.B.
-161	-29	0	84	1	66	0	11	Facilitator	"Well done to following vhts who successfully answered the case this week: Dorothy, Luke, Edward, Karl, Harriet, Gordon, Nora) who answered all 4 days. Isabella and Matthew who answered three days. Jane who answered two days. Qiana who answered for one day. We unfortunately had no answers frm Patricia, Oliver or Francesca. "
-161	-29	0	84	1	66	0	11	CHW	Thank you very much. 
-161	-29	0	84	1	66	0	11	CHW	Thanks Dorothy and well done. One litre equals to two cups of water though not four. That's what I think.
-42	-24	0	80	2	47	1	9	CHW	"Catherine told us that the wound takes time to heal since its inside the ear, so you have to explain that to the patient as well such that she can go ahead with the treatment."
-155	-23	0	78	1	66	0	11	Facilitator	"Luke, Edward, Matthew ne Karl please reply. "
-46	-20	0	29	1	13	0	4	Facilitator	Good doctor. 
-147	-17	0	71	1	65	0	11	CHW	Greetings to you all fellow health workers. I am happy for the correction from my fellow health workers about something I thought was right. Thank you so much for that.
-29	-7	0	84	2	66	1	11	CHW	Well done Isabella. Welcome back from the church service. What are we going to do about Miss X? I haven't got a reply yet. I was suggesting we fix some time tomorrow evening and give her some antibiotics because of the wounds so she can get some peace. How do you see?
0	0	1	76	0	65	0	11	Facilitator	Thank you very much Isabella. 
1	1	1	78	0	66	0	11	CHW	What you have said is okay but where shall we get the MUAC tape from? You're the ones with them but we know how to use them because we watched the video. I don't if others know but I personally do from the video I watched.
3	3	0	49	1	62	0	10	Facilitator	Thank you Patricia. Excellent points. 
5	5	1	82	0	66	0	11	Facilitator	If you have any other questions about this case please let us know.
7	7	1	84	0	66	0	11	CHW	"This is Patricia, VHT SN. I refer that child to a bigger HC. "
7	7	1	84	0	66	0	11	Peer supervisor	"Now, given Annette's condition the 50 year old lady from Makata, this is what I think could be the cause of her ears itching. Some people have skin diseases but because they don't feel pain, they don't bother treating them. Sometimes you find a child or adult with ringworms in the head, another with dandruff yet another may not be having any. She may be having a skin disease in the hair that may be affecting the ears when she tries to scratch it. Secondly, she may have used something that shouldn't be used in the ears like sticks, dirty water, medicine and others. I think that's what causes ears to itch."
7	7	1	84	0	66	0	11	Peer supervisor	"Our question is about a sick child called Patricia and the first question requires us to define diarrhoea. Diarrhoea is watery stool that's not as solid as the normal waste. It is identified when someone's stool is watery. Apart from drinking water that's not clean, other causes of diarrhoea include eating dirt, eating different food stuff at the same time, eating lots of fats that one ain't used to, eating unwashed mangoes and typhoid. That's my reply to the question."
7	7	1	84	0	66	0	11	CHW	What are you saying Luke?
7	7	1	84	0	66	0	11	CHW	"Todays question of the patient who had wax yesterday - I apply olive oil drops, 3 drops, 3 times a day, 5 days. Then after the 5 days I wash out with 9mls of H20 and 1 ml of iodine. I then dry mop those ears. If I do all that and the wax remains I put oil in the ears again and then wash out again after 5 days. If it remains again I refer the patient to a specialist. But the advice I give to that patient is not to insert sticks in to their ears - becuase this can affect the ear canal and ear drum. I also tell them that incase they get problems with their ears they should not self medicate. But they should see a health worker. "
7	7	1	84	0	66	0	11	Facilitator	Ok Luke let others also give their views then we shall give you the causes of itching in the ear. 
7	7	1	84	0	66	0	11	Facilitator	And this is wait a negative RDT looks like if the child does not have malaria
7	7	1	84	0	66	0	11	CHW	Ok Sir. 
7	7	1	84	0	66	0	11	Facilitator	I will be at Seeta Nazigo on Monday to distribute payment for March. Remember that payment will be based on participation and number of reports submitted correctly.
7	7	1	84	0	66	0	11	Facilitator	Yes... Checking the skin turgor (how strong it is is a good answer)
7	7	1	84	0	66	0	11	Facilitator	"Hi VHTs. Here are some suggestions about how to prevent diahorrea: Breastfeed more frequently when a baby has diarrhoea.

Give more fluids to children with diarrhoea.

Giving oral rehydration salts solution can strengthen a child and reduce the risk of death from diarrhoea.

Prevent diarrhoea by disposing of all faeces in a latrine 

Wash hands with soap before preparing or handling food, before eating or feeding a child. after using the toilet or changing a child who has defecated, before and after taking care of someone who is sick, after touching sick or dead animals

Use safe water for drinking and food preparation

Do not drink water from any source directly without boiling it 

Safe water can be made unsafe if carried in dirty containers or stored in dirty containers or left uncovered in clean containers

Protect water from contamination by covering water storage containers and keeping animals away.

Cook food well and protect it from flies.

Cover stored food.

Use clean eating utensils."
7	7	1	84	0	66	0	11	Peer supervisor	"Before I answer the question, I request Luke to send his audio again because his voice sounds very low and the person in the background is actually louder. Luke I am requesting you re send your audio please."
8	8	1	83	0	64	0	11	Facilitator	Hi Patricia - the information about this is in your handbook which you got at the training day in January. This Is called a 'post-auricular fistula'.
11	11	1	82	0	60	0	11	Facilitator	"Nora, if you see a VHT giving a wrong answer - please explain to them the right answer. "
12	12	1	82	0	59	0	11	Facilitator	"The VHT should explain to him that to confirm the hearing loss they would need to refer him to a specialist called an audiologist who can test his hearing using special tests. Unfortunately however, there are not many audiologists in Uganda. The ones that are there are expensive and only in Kampala. There are some treatments for hearing loss like hearing aids and cochlear implants but these are also expensive. A hearing aid costs 6 million shillings for one, and the batteries need changing each week. Each battery costs 20,000 shillings. 

There are other things that the VHT can recommend. For young children with hearing loss they can go to special schools for the deaf for example. Here they can learn sign language and communicate. They can also give advice such as wearing ear protection to prevent hearing loss in the first place if they are exposed to loud noises in their job, or avoiding medicines which can cause hearing loss. 

The VHT can also explain to family members how to communicate with someone who struggles to hear properly. For example, speaking slowly, clearly and loudly. Not covering the mouth with the hand when talking to someone. Pointing to objects they are referring to. Being patient.

If a baby has two parents who are deaf they should spend time with family members who are not deaf as this can otherwise affect their language development. 

Remember people who are deaf have normal intelligence. "
15	15	0	37	1	61	0	9	Facilitator	 Excellent answer Dorothy.
16	16	1	82	0	56	0	10	Facilitator	"Todays case it also about filling in the books, so send photos like yesterday. "
17	17	1	81	0	54	0	10	CHW	"Now the advice I can give to the patient who had wax in their ears is to apply oilive oil in the ears. I do it for the first time, I tell her to apply it three drops, three times a day for 5 days. I do the washout after the five days, if I find there is still wax even after doing that, I refer to an ENT specialist. "
19	19	1	81	0	52	0	10	Facilitator	Ok
20	20	1	80	0	50	0	10	CHW	"When I find that three year old child Patricia with my supervisor and they tell me she has diarrhoea, this is my understanding of it. Diarrhoea refers to frequent release of watery stool. People in my community understand it as a condition when someone goes to the latrine frequently and believe it is caused when someone eats food they ain't used to like a lot of meat on festivals. Some people in the village hardly eat it due to low income so believe it causes diarrhoea. Other causes of diarrhoea include drinking unboiled water, eating contaminated food and other food stuff and typhoid. Those are some of the causes of diarrhoea that I can talk about now. Those are my answers to today's questions."
21	21	1	80	0	49	0	10	CHW	Catherine there is a sound on my phone - like an alarm I don't know what to do. Maybe my phone has a problem? 
22	22	0	29	1	60	0	9	Facilitator	Thanks Isabella
5	25	1	74	0	59	2	10	CHW	 Got  a client with little wax but much Itcthing. We need your help.
26	26	1	79	0	44	0	9	CHW	The second question. I counsel the patient and I tell her to buy the medicine. And also take it in the prescribed time and also eating something before taking the medicine. Also not being so stressed. Because such things happen. Also I tell her about clinics where she can get the medicine. The different is she is the one to buy the medicine and I will get to know which day she will buy the medicine. That is my suggestion. 
29	29	0	21	1	59	0	9	Facilitator	Your answers are very good - thanks. 
29	29	0	21	1	59	0	9	Facilitator	"Thank you very much for those who have given answers but I have not heard fom the others. Dorothy, Patricia, Isabella, Matthew, Harriet ne Qiana. But let me hope you are ok we will be happy when we can hear from you. "
29	29	0	21	1	59	0	9	Facilitator	Great answer. Thanks for the insights
30	30	1	78	0	39	0	9	CHW	" First of all, I explain to Jamil that he ain't alone with that kind of problem. It might have been caused by growing up in a home where the children are slapped on the cheeks thus affecting the ears. Another cause could be suffering from malaria and being given quinine as treatment causing damage to the ears. Also, some people are born like that."
-160	30	2	84	0	65	1	11	CHW	"Andrew I have found a patient with pus in her ear, you told us that to give such a patient antibiotics we have to first consult you, what can I do? I beg for a reply ssebo"
31	31	1	78	0	39	0	8	CHW	"As for today's question concerning yesterday's gentleman, these are the causes of hearing loss I can give. First of all, diseases can affect ears causing hearing loss. Secondly, loud noises like bullet sounds can cause the problem too. Some people are born with abnormalities on the bones of hearing. Disabilities for example some teachers at schools slap students in the ears. In addition to that, violence in homes causing one partner to beat the other which may damage their ears and cause hearing loss. Using strong medicine like quinine. Lastly, old age though that gentleman is 37 which is not so old. That's my reply to today's question. I remain Gordon, VHT Makata."
32	32	1	78	0	38	0	8	CHW	"Sorry I had forgotte to give the name of the disease, but it is called otitis media. "
32	32	1	77	0	37	0	8	CHW	"I reached at 's place like three times but I didn't get her, today I was in Kaziba to do an ear washout to those people we gave olive oil while we were with doctor Andrew"
-154	34	2	83	0	60	1	11	Facilitator	I agree with the suggestion put forward by our dear vhts to invovlve the extended family. Since this child is severe acute malnutrition feeding them more food alone will not work at first. She needs a special diet which can only be done in a hospital. Once she has regained strength then she can resume on a normal diet. However even then when she is returned to the mum someone will have to monitor her as she can easily fall sick again.
37	37	0	15	1	62	0	10	CHW	Greetings fellow VHTs. Thanks for last week's work. Those with patients and who have lost loved ones may God be with you. I welcome back you all from the meeting at Seeta Nazigo. We thank God for bringing you to attend and I'm sure He has enabled you to reach safely.
37	37	0	15	1	62	0	10	Peer supervisor	Thanks good night. 
38	38	1	76	0	30	0	8	Facilitator	Harriet... They should be in the box I gave you
40	40	1	75	0	28	0	7	CHW	"The second question, children from poor communities are prone to chronic supprative otitis media because poor people don't receive enough health services. Others have little understanding on health issues. Lastly, I request the teachers to explain to us the meaning of the word allergy."
40	40	1	76	0	29	0	7	Peer supervisor	Ok let us wait 
40	40	0	15	1	66	0	11	Facilitator	Ok Mr. Karl. Thank you. 
41	41	1	75	0	27	0	7	Facilitator	Haha Ok. No problem 
41	41	0	15	1	67	0	11	Facilitator	Thanks for this 
42	42	1	75	0	26	0	7	Facilitator	"Karl asked ""Why is it that someone can get bitten by a mosquito and not suffer from malaria yet another one may? Also why do children under 5, pregnant women and those from western Uganda prone to malaria compared to other people? Karl. To answer your questions, some mosqitoes carry malaria Karl, others do not. Therefore one person might be bitten by a mosquito like the female anonphales which carries malaria, and the other person may be bitten by a male mosquito which does not carry it. Those in western Uganda have higher rates of malaria as the number of mosquitoes there are higher. Pregnant women and children have weakend immune systems compared to adults so are more likely to get malaria. Qiana asked  My question is many people sleep under mosquito nets without any holes but complain of malaria which they treat it in vain. What causes that? Qiana, thank you. To answer your question: Although they might be sleeping under a net with no holes, they could have been bitten at any other point before they fall asleep. For example at dusk when they are collecting water. It only takes one bite to get malaria. Francesca asked My question is why does fatigue cause malaria? Francesca, malaria causes fatigue as you get fevers, get dehydrated from sweating and the body feels weak. Also it can damage the red blood cells which carry oxygen around the body. Isabella asked ""They train them to do blood check ups for malaria. Is it possible with us too?"" Isabella - thank you for your enthusiasm. Right now we are not able to provide RDTs and medicine for malaria to the VHTs, since we only have a small amount of money. We think though that now you are aware that if a person presents to you with the symptoms of malaria you will know to advise them to get an RDT, check for malaria and refer them to the health centre to seek treatment if they require it. This is something you should ask the supervisors of Omni Med since they are the ones who are responsible for other disease except the ear. "
43	43	1	75	0	25	0	7	CHW	"This is my reply to the question too. What I can tell the mother is to feed that child with a balanced diet for example beans, soya, eggs if possible and others. Truth is children don't have white blood cells that fight against diseases. I explain that to the mother as well. And also ask her to cover their ears while bathing. That's my answer."
44	44	1	75	0	24	0	7	CHW	Catherine you were not clear about what I should do with that boy who can hear. So I will wait for a response tomorrow. 
44	44	0	16	1	72	0	12	CHW	Thank you Catherine for correcting us and letting us know what we have to do. God bless you. 
45	45	0	16	1	74	0	13	Facilitator	Excellent Patricia. Thank you. Very good answer.
47	47	1	74	0	21	0	6	Peer supervisor	After the 5 days I ask her to come back to do the washout. Part B. The advice I can give her is to keep applying the olive oil drops and not to insert anything into the ears like sticks. I also tell her not to use any medicine that has not been given to her by ear specialists. Lastly I advise to her come back for follow up to see how she is doing. 
49	49	1	74	0	19	0	6	CHW	"My answer to the question for day before. First introduce yourself to the mother of the child. Then you ask who the head of the house hold is. The age of the child. The village. Before asking her to examine the ear of the child, you enquire which ear has the problem. Whether it is one or both. After examining and you find the ear has a problem you give the child pain killers. You check again in 3 days. If there is no difference you refer the child. "
-87	49	0	19	2	59	1	9	Peer supervisor	"Thank you Edward, what I can say, the ear with wax needs olive oil and that with pain I think the person needs pain killers and we see how he will be. That is my idea."
49	49	1	74	0	19	0	6	CHW	 It's me Jane. I think the problem is in the inner ear and I refer her to specialists.
49	49	1	74	0	19	0	6	Peer supervisor	Now this is the reply to todays question. When I look in the ear I see so much pus I can't see the ear drum. This is called otitis media. 
51	51	1	75	0	18	0	6	Peer supervisor	"When I look at today's ear in the picture that has been given to us I see a hole behind the pinna. I remember they told us if the skin of the ear drum grew from inside, the behind part of the ear looks like that which is called cholesteatoma. That's what I see to day."
51	51	1	75	0	18	0	6	CHW	"B.As VHTs, we should keep teaching people how to take good care of their ears because hearing aids are expensive and learning sign language requires money too. They should therefore take care of their ears and see doctors as soon as they discover they  have any problem with them."
51	51	1	75	0	18	0	6	CHW	"I will start with the second question, the reason as to why people who are poor normally get chronic supprativr otitis media is that in most cases poor people have no money to take them to the Health centre to get assessment and also treatment, that's why they end up using sticks when they've got a lot of wax in their ears, some stay in pain not knowing even where to go to get help, now like a disease for sickle cells in some places they offer free treatment but because of lack of transport to take them where there is free treatment, they get affected. Therefore they lose hope, even in Seeta Nazigo Health Centre, they may be offering free dental services but a poor person even fails to get 5000 shillings to bring him or her for treatment which is not the case which the rich."
51	51	1	75	0	18	0	6	CHW	Friends I don't know what is happening to my phone. I have sent them twice but they are showing they have not gone through. 
51	51	1	75	0	18	0	6	CHW	"This is my reply to today's question. After seeing Mr. Jamil and confirming his ears have no other problem besides hearing loss, I explain to him what could be used to help him. I let him know about hearing aids and their cost which is between shs. 800,000 and shs.1,000,000. I also direct him to ENT specialists who sell them instead of just buying from anywhere like someone purchasing groundnuts or a phone. And that the ENT specialist must confirm it first."
53	53	1	76	0	17	0	6	Facilitator	You will refer to hospital but what if she doesn’t have money?
53	53	1	76	0	17	0	6	Peer supervisor	The ear canal is painful and full of pus 
53	53	1	76	0	17	0	6	Facilitator	Yes tomorrow it is Jane and Karl at 2pm meeting at makata Primary school. Please identify a house we can visit together.
53	53	1	76	0	17	0	6	Facilitator	Dorothy your answer to that question is right
53	53	1	76	0	17	0	6	Facilitator	"You ask her what symptoms she has had. She says she has had itching and some hearing loss in both ears. Please mark these in the book. You then look at the pinna which looks like this. Record your finding in the book. 
You then look in the left and right ear. They look like this. Please record the finding in your book. The hearing test was abnormal in both ears. Please record the finding in your book. Please then record your overall findings and plan in the book. 
"
53	53	1	76	0	17	0	6	Facilitator	Also who needs a MUAC tape still ? We have 4 VHTs who have not got one yet - however we bought one for every VHT. Please come to the organisation to collect your tape off Bryan or Catherine this week. I will leave them with a supply for those VHTs who did not get one.
54	54	1	77	0	17	0	6	Facilitator	"Those other things you mention such as eating half cooked meat are actually different diseases all together such as shigella, salmonella, ecoli"
36	54	0	15	1	60	2	9	Facilitator	Thanks very much Edward for those views because they are vey good. Continue encouraging pregnant women to go to the health centre like you said. 
54	54	1	77	0	17	0	6	CHW	"Gordon Byamukama, did you just move around? You should say you also examined. We haven't understood you really well. Did you move around and after went home or you examined and found no one had an ear problem? But you really didn't find anyone with a problem? Not even wax?"
54	54	1	77	0	17	0	6	CHW	"After washing the ears of the patient and finding out the wax is still there I do the wash out again, if I found out it is still there after washing out again I refer the patient to the specialist. "
54	54	1	77	0	17	0	6	Facilitator	The first case study. We shall give you the results after everyone has answered. 
54	54	1	77	0	17	0	6	Peer supervisor	The child I have examined - her mum told me she is 4 years. That is why I used the 6 month - 59 month MUAC. Another thing the mother didn't put her on the her legs as she could sit independantly. 
56	56	1	78	0	16	0	6	CHW	"Another part, which says should people buy their own medicines? The truth is when someone doesn'thustle to get something, they don't appreciate the value of that item. But for a person who has worked hard to get money to get something or to get money aperson will always be so careful about how to use that money. So the person will say I worked hard for this money so I can't play around. But if a person doesn't know where something came from they don't take any care or doesn't take any responsibility. Another thing - people who give you free medicine care about your life more than you. If you give it free its like you are forcing things on them - so let them love their live first. That is why they have to buy the medicine themselves so they know what it is like to go through to get the money. They need to know the cost of the medicine - if they don't know the cost they wil use it poorly. If they know it is 100,000 they will use it wisely.  "
56	56	1	78	0	16	0	6	Peer supervisor	I see the ear drum is reddish and has pus.
56	56	1	78	0	16	0	6	CHW	"Let me emphasise this. At the government health center there is some medicine that is not offered. Someone comes with a condition and sits from morning to evening. And later on when they see the health worker, they tell them they don't have that medicine and tell them to get it elsehwere. People think medicine is there, but it is just not there. "
57	57	1	79	0	16	0	6	Peer supervisor	I do ear wash out and dry mopping then I give 3 drops of antibiotics 3 times a day for 5 days and I the follow up.
57	57	1	79	0	16	0	6	Facilitator	QUESTION 3. The mother asks what treatment you could give the child. Tell us what you would do. 
57	57	1	79	0	16	0	6	Facilitator	After doing that then you can write in the book we gave you. 
57	57	1	79	0	16	0	6	CHW	It is caused by how we take care of our bodies. Poor hygiene is responsible for such conditions therefore it can lead to an infection like otitis externa.
57	57	1	79	0	16	0	6	CHW	"If I go back and find out the wax is still there. I repeat. I repeat the process of applying olive oil, three drops, three times a day. Then I wash out. If I go back and the wax is still there I refer the patient to an ENT specialist. In a bigger hospital. "
59	59	1	79	0	14	0	6	Facilitator	 If we can't see this person now Dorothy we should see them first thing in the morning
60	60	1	82	0	15	0	7	CHW	c) I ask their age
60	60	1	81	0	15	0	6	Facilitator	This is todays question. 
60	60	1	82	0	15	0	7	CHW	All VHTs are doing fine only that some of them are busy in their gardens.
60	60	1	81	0	15	0	6	CHW	There's the female anopheles mosquito
60	60	1	81	0	15	0	6	CHW	 I refer that patient to ENT specialists.
-99	61	2	74	0	19	1	6	CHW	"There is a question I am asking my fellow VHTs. There is a house I have found a child. The boy is 10 years, but he is mentally disturbed. So I need your advice. Can I take the child to Andrew on Monday. I need advice because the child does not talk or hear - he is deaf. I need advice what can I do."
61	61	1	82	0	15	0	6	Peer supervisor	"I explain to him that the treatment he can have may consist of surgery or hearing aids, but that can only be determined by a specialist. I direct him to that specialist."
-98	64	2	75	0	17	1	6	Facilitator	"There is no indication for antiobiotics if its itching . only pus, perforation and otitis externa"
65	65	1	86	0	14	0	7	CHW	"My third question - after seeing that the equipment is expensive I encourage them and advise them that there are technical schools, where they can go and learn. Because even the teachers who teach them use sign language. So that way they can develop themselves instead of staying the same when they don't know anything. Yet in those technical schools some do craft work, weaving baskets. They also teach them as people who hear. They also have a chance and an opportunity because those people train in construction, carpentry sand many more. They can be trained in sign language - a bit like the blind with braille.Because the blind can't see but they have special equipment. So the same applies to the deaf. There are many things they can use to help them. Though they can't hear they can see what can be done. So they can see each sign they are taught. "
65	65	1	86	0	14	0	7	CHW	Another one is over eating mangoes and maize therefore we should ask them to reduce their intake.
-98	66	0	16	2	70	1	12	CHW	"Greetings Edward, me too my idea is not so different from my fellow friend's views, give him olive oil on the er with wax and then some pain killers for pain. Thank you for your work."
-100	66	2	77	0	17	1	6	CHW	"Now I have a problem. There is a patient I have here. She is 80 yo lady, I gave her ear drops which she has been using. Today is the 5th day. I have washed the ear, but I have seen the wax is near the canal. It is so hard you can see it without putting the otoscope, so even if you put tissue papers they can't go in. I request for one of our helpers to come help me. "
67	67	1	87	0	13	0	7	Peer supervisor	Those who can't write just use audios. 
-102	72	2	81	0	15	1	6	Facilitator	 Francesca told me that the mother was waiting for me to take her to Mukono HC IV on last Friday at 2pm. I don't know may be she is still expecting a lift to the Health Centre. I was thinking of passing by her house today.
75	75	2	16	1	71	0	12	Facilitator	Thank you Karl . This is excellent advocacy work and great citizenship.
78	78	2	27	1	60	0	9	Facilitator	VHTs we are very greatful for all your replies this week. All of you have given very good views. Please continue to share ideas and help people with hearing loss in your communities in the ways you have mentioned. We are done with the questions for this week. Have a good night. 
86	86	1	75	2	17	0	6	Facilitator	" That is good, but what if the patients are many?"
87	87	1	75	2	18	0	6	CHW	"2b) Inside the ear, I see pus and a hole. Regards to you all. It's me Nora."
87	87	1	75	2	18	0	6	CHW	It is common among children because they are unable to acquire anything they need unlike adults. Children only depend on their parents. They are also weak and ignorant of what's important for them. May God be with you.
-99	87	2	75	1	18	0	6	CHW	"That's where I beg Andrew that most villages did not get VHTs but they have ear problems, what are we going to do? We kindly ask for a response and we see what next because there are many villages which have no VHTs but they have ear problems. What are we going to do because they have started approaching us since they know we were trained. "
-69	89	1	15	2	64	3	10	Facilitator	Patricia - well done! Great video. All of the steps you did were correct. Fantastic. Please feel free to show these videos or share them with other community members on your home visits. They are great.
107	107	1	78	2	37	0	8	Facilitator	"Francesca one of the boxes. You have said both ears are abnormal, but you were meant to tick one box. You have not indiciated issues with the ear or ear canal to show how they are. You have indicated well about the hearing test and thanks. The last part of the paper can't be seen. "
40	112	1	76	3	29	2	7	CHW	Harriet tomorrow we should go back to see Mrs. X. Some of them are given appointments but need to be followed up to make sure we don't loose them. Please pass by my home and we will go see. 
114	114	1	79	2	44	0	9	CHW	"Well done health workers. Symptoms like not urinating, passing out stool all those times and sunken eyes are all very dangerous when a child has diarrhoea. We immediately mix ORS and ask the mother to give it to the child until they get to the health centre. I refer them to the health centre because I don't have treatment for the condition."
118	118	1	80	2	47	0	9	Facilitator	Good point. The cause of CSOM is due to poor hygiene sometimes so encourage parents to keep their childrens ears clean and dry.
130	130	1	82	2	59	0	11	Facilitator	 Good morning VHTs. What are the causes of hearing loss??
135	135	1	83	2	63	0	11	Facilitator	"Thank you Harriet, so it means the government is the one responsible to provide that medicine, but because of the situation people end up buying the medicine?"
136	136	1	81	2	66	0	11	Facilitator	"Thank you very much Harriet for sharing that video - all of the points you made very well. The way they are supposed to be, but in the beginning you didn't tell us about washing the hands. All in all it was nice - thanks. "
137	137	1	82	2	66	0	11	CHW	" Greetings fellow VHTs and well done! That child has a pre-auricular sinus. As a VHT, I would advise them to get pain killers and also refer them to specialists. Thank you."
139	139	1	84	2	66	0	11	CHW	"Regards to you my fellow VHTs. My name is Nora. This is my reply to that question. When I look down the pinna, I see a hole."
139	139	1	84	2	66	0	11	CHW	" Greetings fellow health workers and thanks for the work you're doing. When I check Enoch and the MUAC tape indicates he is severely malnourished, I advise the mother to take him to the health centre immediately since his condition is critical. The advice I can give the mother regarding the sister is to take good care of her by giving her body building food, energy giving food, drinks, milk and millet porridge since she ain't that badly off. All she needs is proper care. That's what I have to say today."
139	139	1	84	2	66	0	11	Facilitator	Good morning VHTs. Hope you are ok. Todays question concerning malaria is as follows: The RDT shows she has malaria. How do you treat malaria in this girl? 
139	139	1	84	2	66	0	11	Facilitator	"Thanks all of you who responded about todays photo. We have given you the right answer above. The hole is called preauricular sinus, someone can have it without a problem. But if it is swollen the patient might need antibiotics or a referral such that a specialist can remove the pus or a surgery such that it doesn't think pus again or any other problem. "
139	139	1	84	2	66	0	11	CHW	"Greetings fellow VHTs. I can see a swelling on the pinna. Such conditions become serious if you don't attend to them early. If I see such a patient, I refer them to a specialist because they need surgery and as soon as possible."
139	139	1	84	2	66	0	11	Facilitator	"Thanks VHTs - the correct answer is that because Enochs measurement using the tape showed 'Red' you should refer him urgently to the health centre for thorough assessment. Similarly, for his sister; Refer. Any child with swollen feet on both sides should be referred to the health centre. "
139	139	1	84	2	66	0	11	Peer supervisor	Greetings fellow health workers. I think what causes malaria is the female anopheles mosquito.
139	139	1	84	2	66	0	11	CHW	"Greetings fellow VHTs. Thank God who has enabled us to wake up alive. This is my answer to today's question. If they come to me after getting checked and confirming they have malaria, I give them coartem three tablets in the morning then more three after 12 hours. That is done for three days. In those three days I accompany those tablets with one panadol twice a day because malaria causes pain in the body and headache. Panadol therefore acts as a pain killer that relieves pain in this case but coartem is the real medication for malaria. I also advise them to take a lot of drinks like passion juice, ORS and others. Some think drinks refer to alcohol so they go to bars and buy it claiming the doctor told them to do so and buy alcohol for themselves! They have to be soft drinks so clariy this for those drunk fathers!"
139	139	1	84	2	66	0	11	CHW	"Well-done all my fellow VHTs, this phone sometimes disturbs me with network, and I had no batery, when I look at that patient, I think that is chloestoma I just refer the patient to the ENT without delay, nice time."
