URL,ID,Hands,Other,Normal,Splinter,Fungal
https://ecraft2learn.github.io/ai/onyx/images/hands/Fingernail healthy Image_10.jpg,0,30,555,10,0,
https://ecraft2learn.github.io/ai/onyx/images/hands/Fingernail healthy Image_14.png,1,10,2035,25,10,
https://ecraft2learn.github.io/ai/onyx/images/hands/Fingernail healthy Image_15.png,2,45,520,30,0,
https://ecraft2learn.github.io/ai/onyx/images/hands/Fingernail healthy Image_17.png,3,25,065,10,0,
https://ecraft2learn.github.io/ai/onyx/images/hands/Fingernail healthy Image_19.png,4,30,040,30,0,
https://ecraft2learn.github.io/ai/onyx/images/hands/Fingernail healthy Image_2.png,5,45,525,10,15,
https://ecraft2learn.github.io/ai/onyx/images/hands/Fingernail healthy Image_8.png,6,10,040,30,20,
https://ecraft2learn.github.io/ai/onyx/images/hands/Fingernail unhealthy Image_16.png,7,35,510,35,15,
https://ecraft2learn.github.io/ai/onyx/images/hands/Fingernail unhealthy Image_17.png,8,40,520,35,0,
https://ecraft2learn.github.io/ai/onyx/images/hands/Fingernail unhealthy Image_18.png,9,35,015,40,10,
https://ecraft2learn.github.io/ai/onyx/images/hands/Fingernail unhealthy Image_19.png,10,35,520,25,15,
https://ecraft2learn.github.io/ai/onyx/images/hands/Fingernail unhealthy Image_32.jpg,11,45,540,10,0,
https://ecraft2learn.github.io/ai/onyx/images/hands/Fingernail unhealthy Image_35.jpg,12,40,520,30,5,
https://ecraft2learn.github.io/ai/onyx/images/hands/Fingernail unhealthy Image_50.png,13,30,530,25,10,
https://ecraft2learn.github.io/ai/onyx/images/hands/Slide22.PNG,14,40,1530,5,10,