URL,ID,Splinter,Fungal,Normal,Other
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_1.png,0,50,55,55,55
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_10.png,1,45,50,50,50
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_11.png,2,35,40,40,40
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_12.png,3,30,35,35,35
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_13.png,4,20,25,25,25
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_14.png,5,55,60,60,60
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_15a.png,6,55,60,60,60
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_15b.png,7,70,75,75,75
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_15c.png,8,65,70,70,70
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_15d.png,9,20,25,25,25
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_15e.png,10,35,40,40,40
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_16a.png,11,50,55,55,55
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_16b.png,12,40,45,45,45
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_16c.png,13,55,60,60,60
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_17a.png,14,35,40,40,40
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_17b.png,15,35,40,40,40
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_17c.png,16,35,40,40,40
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_17d.png,17,35,40,40,40
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_17e.png,18,35,40,40,40
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_18a.png,19,65,70,70,70
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_18b.png,20,40,45,45,45
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_19a.png,21,60,65,65,65
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_19b.png,22,20,25,25,25
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_2.png,23,50,55,55,55
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_20a.png,24,50,55,55,55
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_20b.png,25,80,85,85,85
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_21a.png,26,50,55,55,55
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_21b.png,27,35,40,40,40
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_22.png,28,45,50,50,50
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_23.png,29,55,60,60,60
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_24.png,30,45,50,50,50
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_25.png,31,30,35,35,35
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_3.png,32,40,45,45,45
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_4a.png,33,45,50,50,50
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_4b.png,34,40,45,45,45
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_4c.png,35,30,35,35,35
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_4d.png,36,45,50,50,50
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_5.png,37,50,55,55,55
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_6.png,38,50,55,55,55
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_7.png,39,40,45,45,45
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_8a.png,40,45,50,50,50
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_8b.png,41,60,65,65,65
https://ecraft2learn.github.io/ai/onyx/images/splinter-haemorrhage/Fingernail unhealthy Image_9.png,42,75,80,80,80